Z,DIST
0.699,2503.004
0.700,2505.910
0.701,2508.814
0.702,2511.716
0.703,2514.617
0.704,2517.516
0.705,2520.413
0.706,2523.308
0.707,2526.202
0.708,2529.094
0.709,2531.984
0.710,2534.872
0.711,2537.759
0.712,2540.644
0.713,2543.527
0.714,2546.409
0.715,2549.288
0.716,2552.166
0.717,2555.043
0.718,2557.917
0.719,2560.790
0.720,2563.662
0.721,2566.531
0.722,2569.399
0.723,2572.265
0.724,2575.129
0.725,2577.992
0.726,2580.853
0.727,2583.712
0.728,2586.569
0.729,2589.425
0.730,2592.279
0.731,2595.132
0.732,2597.982
0.733,2600.831
0.734,2603.678
0.735,2606.524
0.736,2609.368
0.737,2612.210
0.738,2615.051
0.739,2617.889
0.740,2620.726
0.741,2623.562
0.742,2626.395
0.743,2629.227
0.744,2632.058
0.745,2634.886
0.746,2637.713
0.747,2640.539
0.748,2643.362
0.749,2646.184
0.750,2649.004
0.751,2651.823
0.752,2654.639
0.753,2657.455
0.754,2660.268
0.755,2663.080
0.756,2665.890
0.757,2668.698
0.758,2671.505
0.759,2674.310
0.760,2677.113
0.761,2679.915
0.762,2682.715
0.763,2685.514
0.764,2688.310
0.765,2691.105
0.766,2693.899
0.767,2696.690
0.768,2699.480
0.769,2702.269
0.770,2705.055
0.771,2707.841
0.772,2710.624
0.773,2713.406
0.774,2716.186
0.775,2718.964
0.776,2721.741
0.777,2724.516
0.778,2727.289
0.779,2730.061
0.780,2732.831
0.781,2735.600
0.782,2738.367
0.783,2741.132
0.784,2743.895
0.785,2746.657
0.786,2749.418
0.787,2752.176
0.788,2754.933
0.789,2757.688
0.790,2760.442
0.791,2763.194
0.792,2765.945
0.793,2768.693
0.794,2771.440
0.795,2774.186
0.796,2776.930
0.797,2779.672
0.798,2782.413
0.799,2785.152
0.800,2787.889
0.801,2790.625
0.802,2793.359
0.803,2796.091
0.804,2798.822
0.805,2801.551
0.806,2804.279
0.807,2807.005
0.808,2809.729
0.809,2812.452
0.810,2815.173
0.811,2817.892
0.812,2820.610
0.813,2823.326
0.814,2826.041
0.815,2828.754
0.816,2831.465
0.817,2834.175
0.818,2836.883
0.819,2839.590
0.820,2842.295
0.821,2844.998
0.822,2847.700
0.823,2850.400
0.824,2853.099
0.825,2855.796
0.826,2858.491
0.827,2861.185
0.828,2863.877
0.829,2866.567
0.830,2869.256
0.831,2871.944
0.832,2874.629
0.833,2877.313
0.834,2879.996
0.835,2882.677
0.836,2885.356
0.837,2888.034
0.838,2890.710
0.839,2893.385
0.840,2896.058
0.841,2898.729
0.842,2901.399
0.843,2904.068
0.844,2906.734
0.845,2909.399
0.846,2912.063
0.847,2914.725
0.848,2917.385
0.849,2920.044
0.850,2922.701
0.851,2925.357
0.852,2928.011
0.853,2930.664
0.854,2933.315
0.855,2935.964
0.856,2938.612
0.857,2941.258
0.858,2943.903
0.859,2946.546
0.860,2949.187
0.861,2951.827
0.862,2954.466
0.863,2957.102
0.864,2959.738
0.865,2962.372
0.866,2965.004
0.867,2967.634
0.868,2970.263
0.869,2972.891
0.870,2975.517
0.871,2978.141
