pgc,Nest,Dist,DM,eD,C,T,L,M,S,N,H,F,RAJ,DeJ,Glon,Glat,SGL,SGB,Ty,Asfd,Btot,Ks,Vhel,Vgsr,Vls,Vcmb,Vmod,Name,Icnt,2Mass,Ndgp,Dgp,DMgp,eDgp,NV,Lgp,Bgp,SGLgp,SGBgp,Tgp,S_B,S_K,Vhgp,Vggp,Vlsgp,Vcgp,Vmgp,Vrms,GroupName
72775,200465,66.37,34.11,0.08,,,,,,N,H,,235332.1,+080704.7,99.1953,-52.0651,300.3393,16.9078,2,0.25,14.82,10.81,5224,5370,5425,4859,4921,UGC12833,0,4101,2,68.87,34.19,0.07,5,99.1121,-52.2371,300.1618,16.8499,3,0.00,8.11,5335,5480,5536,4970,5035,202,UGC12834
72784,200161,136.14,35.67,0.20,,,,,,,H,,235348.0,+272506.4,107.5311,-33.7247,320.3743,20.4995,4,0.18,15.34,0.00,7967,8159,8229,7625,7778,AGC330996,2937,4112,14,113.76,35.28,0.06,14,106.7468,-33.6147,320.2018,21.1432,3,0.00,8.89,8052,8245,8315,7709,7866,460,A2666
72788,200465,87.90,34.72,0.20,,,,,,,H,,235354.0,+075813.7,99.2455,-52.2352,300.2127,16.7844,3,0.22,13.08,9.23,5396,5541,5597,5031,5098,UGC12834,0,4101,2,68.87,34.19,0.07,5,99.1121,-52.2371,300.1618,16.8499,3,0.00,8.11,5335,5480,5536,4970,5035,202,UGC12834
72807,201106,124.74,35.48,0.20,,,,,,,H,,235411.7,-174850.1,65.1646,-73.8472,274.9390,9.0644,5,0.11,17.00,0.00,11180,11238,11265,10849,11158,ESO538-002,0,0,1,124.74,35.48,0.20,1,65.1646,-73.8472,274.9390,9.0644,5,17.00,0.00,11180,11238,11265,10849,11158,0,
72835,0,63.97,34.03,0.20,,,,,,,H,,235435.1,-143149.5,73.6535,-71.7232,278.1083,10.0757,5,0.15,15.07,0.00,5511,5581,5612,5172,5243,AGC630329,0,0,1,63.97,34.03,0.20,1,73.6535,-71.7232,278.1083,10.0757,5,15.07,0.00,5511,5581,5612,5172,5243,0,
72860,0,49.89,33.49,0.20,,,,,,,H,,235514.6,-234956.2,44.3922,-76.9050,269.3209,6.7575,5,0.11,14.54,12.25,3925,3960,3979,3612,3647,AGC036454,0,0,1,49.89,33.49,0.20,1,44.3922,-76.9050,269.3209,6.7575,5,14.54,12.25,3925,3960,3979,3612,3647,0,
72863,207061,148.59,35.86,0.20,,,,,,,H,,235516.1,+142231.4,103.0368,-46.3151,306.8278,17.9135,0,0.17,15.51,11.66,10780,10942,11003,10418,10703,AGC331004,0,0,1,148.59,35.86,0.20,1,103.0368,-46.3151,306.8278,17.9135,0,15.51,11.66,10780,10942,11003,10418,10703,0,
72888,0,132.43,35.61,0.20,,,,,,,H,,235539.4,+193056.4,105.2943,-41.4378,312.1576,18.8345,6,0.28,15.45,0.00,7894,8069,8134,7538,7688,UGC12844,0,0,1,132.43,35.61,0.20,1,105.2943,-41.4378,312.1576,18.8345,6,15.45,0.00,7894,8069,8134,7538,7688,0,
72892,0,42.66,33.15,0.20,,,,,,,H,,235541.9,+315358.9,109.3463,-29.4973,325.1797,20.6249,7,0.24,15.17,0.00,4877,5076,5149,4546,4601,UGC12845,0,0,1,42.66,33.15,0.20,1,109.3463,-29.4973,325.1797,20.6249,7,15.17,0.00,4877,5076,5149,4546,4601,0,
72907,211814,67.30,34.14,0.20,,,,,,,H,,235555.3,-604054.0,314.7933,-55.1497,234.9194,-6.6539,5,0.06,14.48,11.54,4203,4099,4070,4065,4109,ESO111-009,0,0,1,67.30,34.14,0.20,1,314.7933,-55.1497,234.9194,-6.6539,5,14.48,11.54,4203,4099,4070,4065,4109,0,
72919,206064,177.83,36.25,0.20,,,,,,,H,,235602.0,+073123.4,99.7944,-52.8416,299.8953,16.1628,-3,0.29,15.90,11.50,11819,11961,12017,11455,11800,AGC331018,0,0,1,177.83,36.25,0.20,1,99.7944,-52.8416,299.8953,16.1628,-3,15.90,11.50,11819,11961,12017,11455,11800,0,
